sector,barrio,tarifa_base,tarifa_total,tiempo_estimado,distancia_aprox_km
SECTOR GRAMA CONJUNTOS Y EDIFICIOS,PANORAMA DEL CAMPO,13000,13000,25-35 min,7.2
SECTOR GRAMA CONJUNTOS Y EDIFICIOS,LA ARENERA,11000,11000,25-35 min,5.8
SECTOR GRAMA CONJUNTOS Y EDIFICIOS,CONJUNTO SARARE CAUDAL,15000,15000,25-35 min,8.5
SECTOR ESTE KIRPAS,ANCA,15000,15000,25-35 min,8.5
SECTOR ESTE KIRPAS,$ 15.000,17000,17000,25-35 min,9.8
SECTOR REMANSOS DE ROSABLANCA,CONDOMINIO SANTA MARIA 1,2,12000,12000,25-35 min,6.5
SECTOR REMANSOS DE ROSABLANCA,VILLAS DEL MEDITERRANEO,13000,13000,25-35 min,7.2
SECTOR REMANSOS DE ROSABLANCA,AGUAS CLARAS,10000,10000,25-35 min,5.2
SECTOR ESPERANSA,VILLA CLAUDIA,9000,9000,25-35 min,4.5
SECTOR ESPERANSA,URBANIZACION GUATIQUIA,10000,10000,25-35 min,5.2
SECTOR ESPERANSA,CORALINA,11000,11000,25-35 min,5.8
SECTOR BUQUE,ALTOS VILLA CODEM,10000,10000,25-35 min,5.2
SECTOR ESTE BAJO,URBANIZACION COVISAN,14000,14000,25-35 min,7.8
SECTOR ESTE BAJO,$ 18.000,18000,18000,25-35 min,10.5
SECTOR ESTE BAJO,LOS GEMELOS,16000,16000,25-35 min,9.2
SECTOR SUR ROCHELA,ROCHELA,16000,16000,25-35 min,9.2
SECTOR OLLAS PELIGRO,SAN JOSE,8000,8000,25-35 min,3.8
SECTOR OLLAS PELIGRO,EL DIKE,8000,8000,25-35 min,3.8
SECTOR OLLAS PELIGRO,SANTA FE,13000,13000,25-35 min,7.2
SECTOR OLLAS PELIGRO,BRISAS DEL GUATIQUIA,9000,9000,25-35 min,4.5
SECTOR OLLAS PELIGRO,SIMON BOLIVAR,16000,16000,25-35 min,9.2
SECTOR OLLAS PELIGRO,$ 20.000,20000,20000,25-35 min,11.8
SECTOR PORFIA,$ 22.000,22000,22000,25-35 min,13.2
SECTOR PORFIA,$ 23.000,18000,18000,25-35 min,10.5
SECTOR PORFIA,CIUDAD PORFIA,16000,16000,25-35 min,9.2
SECTOR PORFIA,$ 25.000,23000,23000,25-35 min,13.8
SECTOR PORFIA,$ 30.000,25000,25000,25-35 min,15.2
SECTOR SALIDA PUERTO LOPEZ,UARDIA,25000,25000,25-35 min,15.2
SECTOR SALIDA PUERTO LOPEZ,HACHON SENA,15000,15000,25-35 min,8.5
SECTOR SALIDA PUERTO LOPEZ,AEROPUERTO,20000,20000,25-35 min,11.8
SECTOR VEREDA EL CAIRO,CONDOMIO TIERRA DEL SOL CAIRO,22000,22000,25-35 min,13.2
SECTOR VEREDA EL CAIRO,CONDOMINIO LA QUINTA CAIRO,10000,10000,25-35 min,5.2
SECTOR VEREDA EL CAIRO,CENTRO COMERCIAL UNICO,10000,10000,25-35 min,5.2
SECTOR HOTELERO VIA MARACOS,HOTEL RUBIALES,8000,8000,25-35 min,3.8
SECTOR CENTRO,HOTEL EL TERMINAL,8000,8000,25-35 min,3.8
SECTOR CENTRO,HOTEL OLAM,9000,9000,25-35 min,4.5
SECTOR HOTELERO LLANO LINDO,HOTEL VIMAR,12000,12000,25-35 min,6.5
SECTOR HOTELERO BARSAL,HOTEL GHL,10000,10000,25-35 min,5.2
SECTOR HOTELERO BARSAL,MOTEL PASHA,22000,22000,25-35 min,13.2
SECTOR UNIVERSIDADES,UNIVERSIDAD DE LOS LLANOS EMPORIO,9000,9000,25-35 min,4.5
SECTOR DE COLEGIOS,COLEGIO NUESTRA SEÑORA DEL CARMEN,9000,9000,25-35 min,4.5
SECTOR DE COLEGIOS,$ 7.000,9000,9000,25-35 min,4.5
SECTOR PARQUES,CION,10000,10000,25-35 min,5.2
SECTOR PARQUES,RESTAUTES,11000,11000,25-35 min,5.8
SECTOR BANCARIO DEL CENTRO,BANCO AGRARIO CENTRO,10000,10000,25-35 min,5.2
